population_density,rucc,longitude,latitude,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,cell_tower_distance
1.0,7.0,-103.57232536690964,35.17288580161848,1203.1787867809442,1724263179341.0,5.0,-112,-14,-79,
1.0,7.0,-103.57232536690964,35.17288580161848,1203.1787867809442,1724263179341.0,5.0,-104,-11,-71,
1.0,7.0,-103.57192801843269,35.172906460382954,1202.9195836861363,1724263180340.0,8.0,-100,-13,-67,
1.0,7.0,-103.57192801843269,35.172906460382954,1202.9195836861363,1724263180340.0,8.0,-110,-13,-87,
1.0,7.0,-103.57192801843269,35.172906460382954,1202.9195836861363,1724263180340.0,8.0,-107,-14,-83,
1.0,7.0,-103.57152904254856,35.17292720375885,1202.659318981689,1724263181345.0,8.0,-100,-13,-67,
1.0,7.0,-103.57152904254856,35.17292720375885,1202.659318981689,1724263181345.0,8.0,-110,-13,-87,
1.0,7.0,-103.57152904254856,35.17292720375885,1202.659318981689,1724263181345.0,8.0,-107,-14,-83,
1.0,7.0,-103.57113071252562,35.17294791355543,1202.3994755931242,1724263182347.0,7.0,-102,-16,-65,
1.0,7.0,-103.57113071252562,35.17294791355543,1202.3994755931242,1724263182347.0,7.0,-110,-11,-89,
1.0,7.0,-103.57113071252562,35.17294791355543,1202.3994755931242,1724263182347.0,7.0,-107,-13,-83,
1.0,7.0,-103.5707318314686,35.172968652001124,1202.1392727474292,1724263183350.0,7.0,-102,-16,-65,
1.0,7.0,-103.5707318314686,35.172968652001124,1202.1392727474292,1724263183350.0,7.0,-110,-11,-89,
1.0,7.0,-103.5707318314686,35.172968652001124,1202.1392727474292,1724263183350.0,7.0,-107,-13,-83,
1.0,7.0,-103.570333583912,35.17298935751015,1201.8794831542818,1724263184352.0,7.0,-103,-12,-71,
1.0,7.0,-103.570333583912,35.17298935751015,1201.8794831542818,1724263184352.0,7.0,-110,-13,-87,
1.0,7.0,-103.570333583912,35.17298935751015,1201.8794831542818,1724263184352.0,7.0,-107,-12,-85,
